CHANNEL	SPEAKER_ID	GENDER	AGE	PLACE_OF_BIRTH	PLACE_OF_RESIDENCE	DEVICE
C0	SPK002	Male	23	CHINA,Henan	CHINA,Henan	iPhone X 15.2
C0	SPK003	Male	27	CHINA,Henan	CHINA,Henan	iPhone XS 15.2.1
C0	SPK009	Female	35	CHINA,Sichuan	CHINA,Sichuan	OPPO PEGM00 Android 11
C0	SPK013	Male	22	CHINA,Guangdong	CHINA,Guangdong	iPhone
C0	SPK015	Male	36	CHINA,Henan	CHINA,Henan	HUAWEI GLK-AL00 Android 10
C0	SPK016	Male	40	CHINA,Henan	CHINA,Henan	OPPO PFJM10 Android 11
C0	SPK016	Male	36	CHINA,Henan	CHINA,Henan	OPPO PFJM10 Android 11
C0	SPK015	Male	36	CHINA,Henan	CHINA,Henan	HUAWEI GLK-AL00 Android 10
C0	SPK021	Male	30	CHINA,Sichuan	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK021	Male	30	CHINA,Sichuan	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK022	Male	30	CHINA,Sichuan	CHINA,Sichuan	iPhone 6s 13.3
C0	SPK022	Male	30	CHINA,Sichuan	CHINA,Sichuan	iPhone 6s 13.3
C0	SPK023	Male	22	CHINA,Guangdong	CHINA,Guangdong	HUAWEI RTE-AL00 Android 11
C0	SPK024	Male	34	CHINA,Guangdong	CHINA,Guangdong	meizu meizu 17 Android 11
C0	SPK023	Male	22	CHINA,Guangdong	CHINA,Guangdong	HUAWEI RTE-AL00 Android 11
C0	SPK024	Male	34	CHINA,Guangdong	CHINA,Guangdong	meizu meizu 17 Android 11
C0	SPK023	Male	22	CHINA,Guangdong	CHINA,Guangdong	HUAWEI RTE-AL00 Android 11
C0	SPK025	Male	32	CHINA,Sichuan	CHINA,Sichuan	HUAWEI DUB-AL00a Android 8
C0	SPK027	Male	34	CHINA,Guangdong	CHINA,Guangdong	XIAOMI
