CHANNEL	UTTRANS_ID	SPEAKER_ID	TOPIC	VALID(h)	TOTAL(h)	RECORDINGCONDITION
C0	G0001_S0001_0_SPK002.wav	SPK002	entertainment	0.186836667	0.343069635	indoor
C0	G0001_S0001_0_SPK003.wav	SPK003	entertainment	0.119499167	0.342945191	indoor
C0	G0003_S0001_0_SPK009.wav	SPK009	food	0.186823889	0.526115556	indoor
C0	G0008_S0001_0_SPK013.wav	SPK013	food	0.20252	0.503028142	indoor
C0	G0028_S0001_0_SPK015.wav	SPK015	electronic products	0.096752222	0.495644444	indoor
C0	G0031_S0001_0_SPK016.wav	SPK016	electronic products	0.248498889	0.495502222	indoor
C0	G0016_S0001_0_SPK016.wav	SPK016	career	0.272925833	0.510631111	indoor
C0	G0017_S0001_0_SPK015.wav	SPK015	career	0.116141111	0.51056	indoor
C0	G0032_S0001_0_SPK021.wav	SPK021	food	0.126644167	0.33984592	indoor
C0	G0013_S0001_0_SPK021.wav	SPK021	entertainment	0.303761111	0.512266667	indoor
C0	G0033_S0001_0_SPK022.wav	SPK022	food	0.154371667	0.344699253	indoor
C0	G0013_S0001_0_SPK022.wav	SPK022	entertainment	0.130638611	0.504136302	indoor
C0	G0034_S0001_0_SPK023.wav	SPK023	food	0.228579722	0.503597031	indoor
C0	G0035_S0001_0_SPK024.wav	SPK024	social	0.130941667	0.501499253	indoor
C0	G0036_S0001_0_SPK023.wav	SPK023	social	0.236544167	0.501505191	indoor
C0	G0037_S0001_0_SPK024.wav	SPK024	entertainment	0.170303889	0.503751111	indoor
C0	G0015_S0001_0_SPK023.wav	SPK023	entertainment	0.201077778	0.503757031	indoor
C0	G0014_S0001_0_SPK025.wav	SPK025	travel	0.262261111	0.518435556	indoor
C0	G0018_S0001_0_SPK027.wav	SPK027	food	0.255954167	0.52287408	indoor
C0	G0018_S0001_0_SPK028.wav	SPK028	food	0.180516389	0.522903698	indoor
C0	G0019_S0001_0_SPK033.wav	SPK033	food	0.131399444	0.28736592	indoor
C0	G0026_S0001_0_SPK040.wav	SPK040	entertainment	0.204536944	0.52096	indoor
C0	G0027_S0001_0_SPK041.wav	SPK041	entertainment	0.223977222	0.520924444	indoor
C0	G0003_S0001_0_SPK030.wav	SPK030	food	0.272355	0.526198524	indoor
C0	G0009_S0001_0_SPK014.wav	SPK014	food	0.195547778	0.50303408	indoor
C0	G0015_S0001_0_SPK024.wav	SPK024	food	0.139841667	0.503757031	indoor
C0	G0014_S0001_0_SPK026.wav	SPK026	travel	0.212571667	0.518281476	indoor
C0	G0021_S0001_0_SPK031.wav	SPK031	food	0.114424167	0.287371858	indoor
C0	G0007_S0001_0_SPK001.wav	SPK001	travel	0.13385	0.339780747	indoor
C0	G0038_S0001_0_SPK004.wav	SPK004	food	0.261858889	0.642346667	indoor
C0	G0039_S0001_0_SPK006.wav	SPK006	food	0.242901389	0.526145191	indoor
C0	G0040_S0001_0_SPK007.wav	SPK007	food	0.265791389	0.526174809	indoor
